700	59	4	2	3	4	5	1	2	3	9	0.31	4	5	1	9	0.65	1
700	21	4	2	4	1	5	1	2	4	9	0.31	4	5	1	9	1.65	9
700	75	5	1	5	5	5	9	2	5	9	0.31	4	1	2	9	2.25	0
700	81	4	3	4	2	5	1	2	3	9	0.45	4	6	1	9	0.55	7
700	68	4	3	5	1	5	1	2	4	9	0.45	4	5	1	9	0.35	9
700	47	4	3	3	2	5	1	2	5	9	0.33	4	4	1	9	2.85	9
700	52	4	4	4	2	5	1	2	3	9	0.33	5	5	3	9	4.55	7
700	65	4	4	4	1	5	1	2	3	9	0.33	5	6	3	9	3.15	7
700	38	5	4	5	2	5	1	2	4	9	0.33	5	4	3	9	2.95	9
603	0	5	2	5	3	4	9	3	5	9	0.37	5	1	4	9	4.35	0
300	38	5	5	4	4	3	9	3	5	5	0.51	5	1	2	3	0.55	8
300	88	5	5	4	4	3	9	3	5	5	0.43	5	3	2	3	1.25	8
300	21	5	5	1	3	3	9	3	5	5	0.54	5	3	2	3	1.15	7
300	0	5	5	4	2	4	1	3	5	9	0.46	5	1	2	9	0.95	0
300	35	5	5	1	2	1	9	3	5	5	0.46	5	3	2	3	0.85	7
600	0	5	4	3	9	4	1	3	5	9	0.1	5	1	2	9	4.35	0
600	140	5	4	3	2	5	9	3	5	2	0.14	5	3	2	2	2.15	1
607	50	5	4	4	3	5	9	3	5	2	0.21	5	3	2	3	1.15	8
600	135	5	4	5	1	5	9	2	5	2	0.15	5	6	2	1	1.75	9
600	106	5	4	4	1	5	9	3	5	2	0.09	5	4	2	3	0.65	7
700	0	4	2	4	9	4	1	3	1	5	0.34	5	1	2	3	3.85	7
700	21	5	3	5	2	4	1	3	1	4	0.3	5	1	2	2	3.45	0
700	45	4	3	5	2	4	1	2	1	4	0.44	5	3	2	2	4.65	7
700	55	4	3	4	4	4	1	2	1	4	0.33	5	3	2	2	5.25	7
700	37	4	3	4	3	4	1	3	2	5	0.35	5	2	2	2	3.85	7
700	118	4	3	3	2	4	1	2	3	5	0.38	4	4	1	2	4.85	7
700	98	4	3	4	1	4	1	2	2	5	0.37	4	4	1	2	3.35	7
700	98	4	3	4	1	4	1	2	2	4	0.38	4	3	1	3	2.25	9
700	0	5	3	4	9	4	1	3	3	4	0.41	5	2	2	2	3.45	7
700	0	4	2	4	2	4	1	2	3	5	0.35	5	3	1	2	3.65	9
700	44	4	4	3	2	4	1	2	2	5	0.4	5	3	2	3	4.75	7
